#identifier	specie	cenwave	f	gamma	weight
H2J6_998	H2J6	998.3339404	0.0366674	1159000000.0	2.01588
H2J7_998	H2J7	998.1118319	0.00712953	987000000.0	2.01588
H2J3_997	H2J3	997.8271764	0.00876095	1070000000.0	2.01588
H2J5_997	H2J5	997.6413693	0.0151938	1159000000.0	2.01588
H2J5_996	H2J5	996.1247192	0.0127433	1030000000.0	2.01588
H2J3_995	H2J3	995.972784	0.0166863	1070000000.0	2.01588
H2J5_994	H2J5	994.9243833	0.0366104	1159000000.0	2.01588
H2J2_994	H2J2	994.8740844	0.00865918	1070000000.0	2.01588
H2J7_994	H2J7	994.4540985	0.0227604	1159000000.0	2.01588
H2J6_994	H2J6	994.2604921	0.0115345	1159000000.0	2.01588
H2J4_994	H2J4	994.2299329	0.0170007	1159000000.0	2.01588
H2J2_993	H2J2	993.5506146	0.0170432	1070000000.0	2.01588
H2J5_993	H2J5	993.4919225	0.0201634	1030000000.0	2.01588
H2J1_992	H2J1	992.8096752	0.00769885	1070000000.0	2.01588
H2J4_992	H2J4	992.0507667	0.0365615	1159000000.0	2.01588
H2J1_992	H2J1	992.0163713	0.0182598	1070000000.0	2.01588
H2J6_991	H2J6	991.9157478	0.00683092	987000000.0	2.01588
H2J4_991	H2J4	991.5338536	0.00991957	1030000000.0	2.01588
H2J3_991	H2J3	991.3804624	0.0159986	1159000000.0	2.01588
H2J0_991	H2J0	991.3789095	0.0261242	1070000000.0	2.01588
H2J5_991	H2J5	991.3708012	0.00944833	1159000000.0	2.01588
H2J7_991	H2J7	991.1634508	0.0353107	1139000000.0	2.01588
H2J3_989	H2J3	989.7292921	0.0365227	1159000000.0	2.01588
H2J4_989	H2J4	989.5572714	0.0310766	1030000000.0	2.01588
H2J7_989	H2J7	989.3198666	0.00595954	912000000.0	2.01588
H2J2_989	H2J2	989.0883868	0.0129261	1159000000.0	2.01588
H2J4_988	H2J4	988.8709203	0.000740979	1159000000.0	2.01588
H2J7_988	H2J7	988.8383291	0.00358014	948000000.0	2.01588
H2J6_988	H2J6	988.8135132	0.0122149	987000000.0	2.01588
H2J2_987	H2J2	987.974454	0.0364958	1159000000.0	2.01588
H2J3_987	H2J3	987.7688241	0.00892793	1030000000.0	2.01588
H2J3_987	H2J3	987.4486293	0.0207847	1159000000.0	2.01588
H2J1_986	H2J1	986.7980045	0.0364673	1159000000.0	2.01588
H2J5_986	H2J5	986.5207361	0.00671492	987000000.0	2.01588
H2J2_986	H2J2	986.244065	0.0195224	1159000000.0	2.01588
H2J3_985	H2J3	985.9627886	0.00827655	1030000000.0	2.01588
H2J1_985	H2J1	985.6442686	0.020708	1159000000.0	2.01588
H2J0_985	H2J0	985.6337086	0.0240614	1159000000.0	2.01588
H2J2_984	H2J2	984.86398	0.00817085	1030000000.0	2.01588
H2J5_983	H2J5	983.898956	0.0126202	987000000.0	2.01588
H2J2_983	H2J2	983.591065	0.0115741	1030000000.0	2.01588
H2J1_982	H2J1	982.8353313	0.0068112	1030000000.0	2.01588
H2J6_982	H2J6	982.7268268	0.00257392	948000000.0	2.01588
H2J1_982	H2J1	982.0742671	0.0136447	1030000000.0	2.01588
H2J4_981	H2J4	981.948474	0.00670767	987000000.0	2.01588
H2J0_981	H2J0	981.4387073	0.0206903	1030000000.0	2.01588
H2J7_980	H2J7	980.758374	0.00292951	883000000.0	2.01588
H2J6_980	H2J6	980.5002618	0.023747	1139000000.0	2.01588
H2J4_979	H2J4	979.8051191	0.0127815	987000000.0	2.01588
H2J6_979	H2J6	979.761325	0.01352	948000000.0	2.01588
H2J3_978	H2J3	978.2180385	0.00673539	987000000.0	2.01588
H2J6_977	H2J6	977.7275235	0.035241	1139000000.0	2.01588
H2J5_977	H2J5	977.4635735	0.000364005	948000000.0	2.01588
H2J3_976	H2J3	976.5528298	0.0128986	987000000.0	2.01588
H2J5_976	H2J5	976.5487606	0.0257208	1139000000.0	2.01588
H2J2_975	H2J2	975.3457562	0.0066437	987000000.0	2.01588
H2J7_975	H2J7	975.302103	0.0154503	1121000000.0	2.01588
H2J5_974	H2J5	974.8864854	0.0142339	948000000.0	2.01588
H2J5_974	H2J5	974.2881746	0.0351643	1139000000.0	2.01588
H2J2_974	H2J2	974.1579092	0.0131537	987000000.0	2.01588
H2J6_974	H2J6	974.05209	0.0136709	1139000000.0	2.01588
H2J6_973	H2J6	973.8285619	0.00536302	912000000.0	2.01588
H2J4_973	H2J4	973.4523388	0.00855244	1139000000.0	2.01588
H2J1_973	H2J1	973.3445791	0.00589912	987000000.0	2.01588
H2J4_972	H2J4	972.6906744	0.0135586	948000000.0	2.01588
H2J1_972	H2J1	972.6327502	0.0140478	987000000.0	2.01588
H2J7_972	H2J7	972.4406148	0.00558134	857000000.0	2.01588
H2J7_972	H2J7	972.2717527	0.0278011	1121000000.0	2.01588
H2J0_971	H2J0	971.9862388	0.020043	987000000.0	2.01588
H2J4_971	H2J4	971.3896132	0.0350968	1139000000.0	2.01588
H2J5_971	H2J5	971.0749686	0.0121176	1139000000.0	2.01588
H2J6_970	H2J6	970.9976216	0.00711421	912000000.0	2.01588
H2J4_970	H2J4	970.8381953	0.0160389	948000000.0	2.01588
H2J3_970	H2J3	970.5633192	0.0130736	1139000000.0	2.01588
H2J3_969	H2J3	969.0898425	0.00816003	948000000.0	2.01588
H2J3_969	H2J3	969.0492173	0.0350406	1139000000.0	2.01588
H2J4_968	H2J4	968.6651077	0.0107236	1139000000.0	2.01588
H2J5_968	H2J5	968.5566069	0.00509638	912000000.0	2.01588
H2J2_968	H2J2	968.2952162	0.0115224	1139000000.0	2.01588
H2J3_967	H2J3	967.6769482	0.0227601	948000000.0	2.01588
H2J2_967	H2J2	967.2810978	0.0350109	1139000000.0	2.01588
H2J3_966	H2J3	966.7803539	0.00614792	1139000000.0	2.01588
H2J2_966	H2J2	966.2754971	0.00649635	948000000.0	2.01588
H2J5_966	H2J5	966.1787113	0.00832436	912000000.0	2.01588
H2J1_966	H2J1	966.0960848	0.0349812	1139000000.0	2.01588
H2J2_965	H2J2	965.7954931	0.0240472	1139000000.0	2.01588
H2J6_965	H2J6	965.4813947	0.00261446	883000000.0	2.01588
H2J1_965	H2J1	965.0648829	0.0219251	1139000000.0	2.01588
H2J2_965	H2J2	965.045744	0.00158292	948000000.0	2.01588
H2J0_964	H2J0	964.9839926	0.0239558	1139000000.0	2.01588
H2J7_964	H2J7	964.7046128	0.00230595	829000000.0	2.01588
H2J1_964	H2J1	964.3106414	0.00502802	948000000.0	2.01588
H2J4_964	H2J4	964.0908922	0.00498546	912000000.0	2.01588
H2J1_963	H2J1	963.6080043	0.00707397	948000000.0	2.01588
H2J0_962	H2J0	962.9780025	0.0131586	948000000.0	2.01588
H2J6_962	H2J6	962.8212913	0.00935859	883000000.0	2.01588
H2J4_962	H2J4	962.152972	0.00875105	912000000.0	2.01588
H2J6_961	H2J6	961.7037174	0.0165031	1121000000.0	2.01588
H2J3_960	H2J3	960.450567	0.00493219	912000000.0	2.01588
H2J5_960	H2J5	960.2656387	0.00224404	883000000.0	2.01588
H2J6_959	H2J6	959.1523487	0.0277083	1121000000.0	2.01588
H2J3_958	H2J3	958.946624	0.00896715	912000000.0	2.01588
H2J7_958	H2J7	958.1900204	0.0061521	1105000000.0	2.01588
H2J5_958	H2J5	958.0114044	0.00961679	883000000.0	2.01588
H2J5_957	H2J5	957.81887	0.0167029	1121000000.0	2.01588
H2J2_957	H2J2	957.652228	0.00480776	912000000.0	2.01588
H2J6_957	H2J6	957.4102089	0.00435348	857000000.0	2.01588
H2J7_956	H2J7	956.9937259	0.00769999	811000000.0	2.01588
H2J2_956	H2J2	956.579917	0.00921098	912000000.0	2.01588
H2J6_955	H2J6	955.9774854	0.0147625	1121000000.0	2.01588
H2J4_955	H2J4	955.8548301	0.00169072	883000000.0	2.01588
H2J1_955	H2J1	955.708153	0.00422758	912000000.0	2.01588
H2J5_955	H2J5	955.6805898	0.0276314	1121000000.0	2.01588
H2J7_955	H2J7	955.2620865	0.0197683	1105000000.0	2.01588
H2J1_955	H2J1	955.065759	0.00988009	912000000.0	2.01588
H2J6_954	H2J6	954.7021151	0.00114293	857000000.0	2.01588
H2J4_954	H2J4	954.474	0.0167173	1121000000.0	2.01588
H2J0_954	H2J0	954.413268	0.0141587	912000000.0	2.01588
H2J4_954	H2J4	954.0039129	0.0100543	883000000.0	2.01588
H2J5_952	H2J5	952.8046238	0.0116602	1121000000.0	2.01588
H2J4_952	H2J4	952.7574	0.0275578	1121000000.0	2.01588
H2J3_952	H2J3	952.2741662	0.000657805	883000000.0	2.01588
H2J5_952	H2J5	952.2549629	0.00387851	857000000.0	2.01588
H2J3_951	H2J3	951.67184	0.0169938	1121000000.0	2.01588
H2J3_950	H2J3	950.8186939	0.0109208	883000000.0	2.01588
H2J3_950	H2J3	950.397767	0.0275027	1121000000.0	2.01588
H2J4_950	H2J4	950.31519	0.0107393	1121000000.0	2.01588
H2J7_950	H2J7	950.1237028	0.00180098	788000000.0	2.01588
H2J5_950	H2J5	950.0734412	0.00436762	857000000.0	2.01588
H2J6_949	H2J6	949.8399586	0.00213559	829000000.0	2.01588
H2J2_949	H2J2	949.61045	0.00142114	1121000000.0	2.01588
H2J2_949	H2J2	949.3524584	0.00928258	883000000.0	2.01588
H2J2_948	H2J2	948.61582	0.0274671	1121000000.0	2.01588
H2J2_948	H2J2	948.47125	0.0129431	883000000.0	2.01588
H2J3_948	H2J3	948.41978	0.0103723	1121000000.0	2.01588
H2J4_947	H2J4	947.8878474	0.00365429	857000000.0	2.01588
H2J1_947	H2J1	947.514033	0.00352235	883000000.0	2.01588
H2J6_947	H2J6	947.433778	0.00609298	829000000.0	2.01588
H2J1_947	H2J1	947.421917	0.0274384	1121000000.0	2.01588
H2J2_947	H2J2	947.11165	0.00993795	1121000000.0	2.01588
H2J1_946	H2J1	946.9803953	0.0196578	883000000.0	2.01588
H2J0_946	H2J0	946.42556	0.0216224	1121000000.0	2.01588
H2J1_946	H2J1	946.384745	0.00807449	1121000000.0	2.01588
H2J0_946	H2J0	946.1693058	0.00133958	883000000.0	2.01588
H2J4_946	H2J4	946.12271	0.00533399	857000000.0	2.01588
H2J6_944	H2J6	944.7832395	0.00994692	1105000000.0	2.01588
H2J5_944	H2J5	944.7205196	0.00203185	829000000.0	2.01588
H2J3_944	H2J3	944.33046	0.00352469	857000000.0	2.01588
H2J7_943	H2J7	943.5471673	4.715e-06	773000000.0	2.01588
H2J3_942	H2J3	942.96422	0.00573822	857000000.0	2.01588
H2J5_942	H2J5	942.6878676	0.00623818	829000000.0	2.01588
H2J6_942	H2J6	942.4773643	0.00400691	811000000.0	2.01588
H2J6_942	H2J6	942.4151012	0.0196795	1105000000.0	2.01588
H2J7_942	H2J7	942.2336079	0.00952228	1090000000.0	2.01588
H2J2_941	H2J2	941.5992145	0.00336792	857000000.0	2.01588
H2J5_940	H2J5	940.8829178	0.0105472	1105000000.0	2.01588
H2J2_940	H2J2	940.62637	0.00602792	857000000.0	2.01588
H2J6_940	H2J6	940.4915803	0.0099348	811000000.0	2.01588
H2J4_940	H2J4	940.3875416	0.00199323	829000000.0	2.01588
H2J7_939	H2J7	939.9791981	0.0133193	1090000000.0	2.01588
H2J1_939	H2J1	939.7067162	0.00291382	857000000.0	2.01588
H2J1_939	H2J1	939.1242124	0.0065582	857000000.0	2.01588
H2J6_939	H2J6	939.1141847	0.00269982	1105000000.0	2.01588
H2J5_938	H2J5	938.9091177	0.0195995	1105000000.0	2.01588
H2J4_938	H2J4	938.7292102	0.006378	829000000.0	2.01588
H2J0_938	H2J0	938.4677567	0.00951063	857000000.0	2.01588
H2J4_937	H2J4	937.5517552	0.0103268	1105000000.0	2.01588
H2J5_937	H2J5	937.4427486	0.00308293	811000000.0	2.01588
H2J3_936	H2J3	936.8570921	0.00204989	829000000.0	2.01588
H2J5_936	H2J5	936.4662788	0.0109825	1105000000.0	2.01588
H2J4_935	H2J4	935.9593845	0.0195421	1105000000.0	2.01588
H2J6_935	H2J6	935.6309835	0.00165464	788000000.0	2.01588
H2J3_935	H2J3	935.5755036	0.00657153	829000000.0	2.01588
H2J5_935	H2J5	935.3235809	0.000455546	811000000.0	2.01588
H2J3_934	H2J3	934.7900641	0.00951256	1105000000.0	2.01588
H2J2_934	H2J2	934.1447948	0.00223943	829000000.0	2.01588
H2J4_933	H2J4	933.7897934	0.0091659	1105000000.0	2.01588
H2J3_933	H2J3	933.577937	0.019482	1105000000.0	2.01588
H2J6_933	H2J6	933.4446149	0.00375904	788000000.0	2.01588
H2J2_933	H2J2	933.2400914	0.006886	829000000.0	2.01588
H2J4_933	H2J4	933.1705001	0.0027111	811000000.0	2.01588
H2J2_932	H2J2	932.6046793	0.00760932	1105000000.0	2.01588
H2J1_932	H2J1	932.266208	0.00239836	829000000.0	2.01588
H2J3_931	H2J3	931.8116973	0.00874581	1105000000.0	2.01588
H2J2_931	H2J2	931.7808572	0.0194461	1105000000.0	2.01588
H2J1_931	H2J1	931.7328821	0.00753127	829000000.0	2.01588
H2J4_931	H2J4	931.5372042	0.00252976	811000000.0	2.01588
H2J0_931	H2J0	931.0626416	0.0106711	829000000.0	2.01588
H2J5_930	H2J5	930.6052244	0.00158386	788000000.0	2.01588
H2J1_930	H2J1	930.5770794	0.0194219	1105000000.0	2.01588
H2J2_930	H2J2	930.4471842	0.00898322	1105000000.0	2.01588
H2J6_929	H2J6	929.6973638	0.00301969	1090000000.0	2.01588
H2J3_929	H2J3	929.6895719	0.00250827	811000000.0	2.01588
H2J1_929	H2J1	929.6883575	0.00984172	1105000000.0	2.01588
H2J0_929	H2J0	929.5327194	0.0119405	1105000000.0	2.01588
H2J6_928	H2J6	928.7779277	0.0056257	773000000.0	2.01588
H2J5_928	H2J5	928.7600976	0.00391557	788000000.0	2.01588
H2J3_928	H2J3	928.4374179	0.00330312	811000000.0	2.01588
H2J6_927	H2J6	927.3626167	0.0132411	1090000000.0	2.01588
H2J6_927	H2J6	927.0515725	0.00498923	773000000.0	2.01588
H2J2_927	H2J2	927.020019	0.00232754	811000000.0	2.01588
H2J4_926	H2J4	926.3546703	0.00157497	788000000.0	2.01588
H2J2_926	H2J2	926.1319303	0.0037013	811000000.0	2.01588
H2J5_925	H2J5	925.6585906	0.00581884	1090000000.0	2.01588
H2J1_925	H2J1	925.17453	0.0019672	811000000.0	2.01588
H2J4_924	H2J4	924.8482807	0.0040013	788000000.0	2.01588
H2J1_924	H2J1	924.6432574	0.00416144	811000000.0	2.01588
H2J6_924	H2J6	924.4976285	0.00383095	1090000000.0	2.01588
H2J0_923	H2J0	923.9846257	0.00616671	811000000.0	2.01588
H2J5_923	H2J5	923.9616459	0.00286714	773000000.0	2.01588
H2J5_923	H2J5	923.8165363	0.0131785	1090000000.0	2.01588
H2J3_922	H2J3	922.8949041	0.00161894	788000000.0	2.01588
H2J5_922	H2J5	922.4750067	0.00666706	773000000.0	2.01588
H2J4_922	H2J4	922.30602	0.00619111	1090000000.0	2.01588
H2J3_921	H2J3	921.730159	0.00406946	788000000.0	2.01588
H2J5_921	H2J5	921.2194244	0.00216944	1090000000.0	2.01588
H2J4_920	H2J4	920.8340292	0.0131189	1090000000.0	2.01588
H2J2_920	H2J2	920.2432314	0.00168347	788000000.0	2.01588
H2J4_919	H2J4	919.7899865	0.00213475	773000000.0	2.01588
H2J3_919	H2J3	919.5444408	0.00581784	1090000000.0	2.01588
H2J2_919	H2J2	919.4181565	0.00416768	788000000.0	2.01588
H2J4_919	H2J4	919.0502134	0.00791087	1090000000.0	2.01588
H2J3_918	H2J3	918.4309174	0.0130632	1090000000.0	2.01588
H2J1_918	H2J1	918.4133051	0.00160977	788000000.0	2.01588
H2J4_918	H2J4	918.1517059	4.5274e-05	773000000.0	2.01588
H2J1_917	H2J1	917.9218851	0.00442958	788000000.0	2.01588
H2J2_917	H2J2	917.3697794	0.00470052	1090000000.0	2.01588
H2J0_917	H2J0	917.2519835	0.00617555	788000000.0	2.01588
H2J3_916	H2J3	916.8771801	0.00693433	1090000000.0	2.01588
H2J2_916	H2J2	916.6169425	0.0130368	1090000000.0	2.01588
H2J3_916	H2J3	916.3829263	0.00182459	773000000.0	2.01588
H2J2_915	H2J2	915.429786	0.00677763	1090000000.0	2.01588
H2J1_915	H2J1	915.4010682	0.0130148	1090000000.0	2.01588
H2J3_915	H2J3	915.2122563	0.00134894	773000000.0	2.01588
H2J1_914	H2J1	914.6073718	0.00722537	1090000000.0	2.01588
H2J0_914	H2J0	914.3971558	0.00846484	1090000000.0	2.01588
H2J2_913	H2J2	913.7701432	0.00161406	773000000.0	2.01588
H2J2_912	H2J2	912.9510737	0.00201527	773000000.0	2.01588
H2J1_911	H2J1	911.9671956	0.00131627	773000000.0	2.01588
H2J1_911	H2J1	911.4794991	0.00248482	773000000.0	2.01588
H2J0_910	H2J0	910.8207315	0.00386549	773000000.0	2.01588
HDJ0_1105	HDJ0	1105.84055	0.0007437	1352000.0	3.0
HDJ0_1092	HDJ0	1092.00126	0.002967	5532000.0	3.0
HDJ0_1078	HDJ0	1078.83104	0.006749	12890000.0	3.0
HDJ0_1066	HDJ0	1066.27568	0.0115	22490000.0	3.0
HDJ0_1054	HDJ0	1054.29354	0.0164	32720000.0	3.0
HDJ0_1042	HDJ0	1042.85005	0.0205	42010000.0	3.0
HDJ0_1031	HDJ0	1031.91493	0.0236	49260000.0	3.0
HDJ0_1021	HDJ0	1021.46045	0.0253	54020000.0	3.0
HDJ0_1011	HDJ0	1011.4618	0.0262	56910000.0	3.0
HDJ0_1001	HDJ0	1001.89413	0.0247	54760000.0	3.0
HDJ0_992	HDJ0	992.71833	0.0241	54360000.0	3.0
HDJ0_984	HDJ0	984.013	0.0204	1000000000.0	3.0
HDJ0_975	HDJ0	975.57587	0.0196	1000000000.0	3.0
HDJ0_967	HDJ0	967.52558	0.014	1000000000.0	3.0
HDJ0_959	HDJ0	959.81919	0.0146	1000000000.0	3.0
HDJ0_952	HDJ0	952.445	0.0344	1000000000.0	3.0
HDJ0_945	HDJ0	945.32	0.0104	1000000000.0	3.0
HDJ0_1007	HDJ0	1007.2902	0.0325	71300000.0	3.0
HDJ0_987	HDJ0	987.26216	0.0588	134200000.0	3.0
HDJ0_968	HDJ0	968.96753	0.0657	155500000.0	3.0
HDJ0_952	HDJ0	952.20447	0.0327	80110000.0	3.0
HDJ0_936	HDJ0	936.92147	0.0402	101800000.0	3.0
HDJ0_922	HDJ0	922.92681	0.0296	72800000.0	3.0
HDJ1_1107	HDJ1	1107.29245	0.000256	1000000000.0	3.0
HDJ1_1106	HDJ1	1106.21689	0.000482	1000000000.0	3.0
HDJ1_1093	HDJ1	1093.40155	0.001012	1000000000.0	3.0
HDJ1_1092	HDJ1	1092.39875	0.001938	1000000000.0	3.0
HDJ1_1080	HDJ1	1080.1743	0.00228	1000000000.0	3.0
HDJ1_1079	HDJ1	1079.24459	0.004339	1000000000.0	3.0
HDJ1_1067	HDJ1	1067.58691	0.003852	1000000000.0	3.0
HDJ1_1066	HDJ1	1066.7018	0.007615	1000000000.0	3.0
HDJ1_1055	HDJ1	1055.56544	0.006756	1000000000.0	3.0
HDJ1_1054	HDJ1	1054.7164	0.0109	1000000000.0	3.0
HDJ1_1044	HDJ1	1044.08545	0.006756	1000000000.0	3.0
HDJ1_1043	HDJ1	1043.29502	0.01376	1000000000.0	3.0
HDJ1_1033	HDJ1	1033.11624	0.00768	1000000000.0	3.0
HDJ1_1032	HDJ1	1032.36721	0.0159	1000000000.0	3.0
HDJ1_1022	HDJ1	1022.62976	0.00814	1000000000.0	3.0
HDJ1_1021	HDJ1	1021.91899	0.01719	1000000000.0	3.0
HDJ1_1012	HDJ1	1012.60079	0.00819	1000000000.0	3.0
HDJ1_1011	HDJ1	1011.92611	0.01792	1000000000.0	3.0
HDJ1_1003	HDJ1	1003.00544	0.0079	1000000000.0	3.0
HDJ1_1002	HDJ1	1002.3622	0.01679	1000000000.0	3.0
HDJ1_993	HDJ1	993.8025	0.00737	1000000000.0	3.0
HDJ1_993	HDJ1	993.1916	0.01666	1000000000.0	3.0
HDJ1_1007	HDJ1	1007.2537	0.01542	1000000000.0	3.0
HDJ1_987	HDJ1	987.2667	0.02843	1000000000.0	3.0
HDJ2_1045	HDJ2	1045.76264	0.00804	1000000000.0	3.0
HDJ2_1023	HDJ2	1023.07083	0.0145	1000000000.0	3.0
COJ0_1544	COJ0	1544.448	0.01579	1000000000.0	28.0
COJ1_1544	COJ1	1544.54	0.007896	1000000000.0	28.0
COJ1_1544	COJ1	1544.388	0.00788	1000000000.0	28.0
COJ2_1544	COJ2	1544.724	0.001578	1000000000.0	28.0
COJ2_1544	COJ2	1544.571	0.007886	1000000000.0	28.0
COJ2_1544	COJ2	1544.345	0.006284	1000000000.0	28.0
COJ3_1544	COJ3	1544.847	0.002251	1000000000.0	28.0
COJ3_1544	COJ3	1544.619	0.00787	1000000000.0	28.0
COJ3_1544	COJ3	1544.316	0.00558	1000000000.0	28.0
COJ4_1544	COJ4	1544.987	0.002617	1000000000.0	28.0
COJ4_1544	COJ4	1544.681	0.007846	1000000000.0	28.0
COJ4_1544	COJ4	1544.305	0.00516	1000000000.0	28.0
COJ5_1545	COJ5	1545.142	0.002839	1000000000.0	28.0
COJ5_1544	COJ5	1544.76	0.007812	1000000000.0	28.0
COJ5_1544	COJ5	1544.312	0.004839	1000000000.0	28.0
COJ6_1545	COJ6	1545.314	0.002975	1000000000.0	28.0
COJ6_1544	COJ6	1544.855	0.007759	1000000000.0	28.0
COJ6_1544	COJ6	1544.338	0.004501	1000000000.0	28.0
COJ0_1509	COJ0	1509.748	0.0351	1000000000.0	28.0
COJ1_1509	COJ1	1509.835	0.01457	1000000000.0	28.0
COJ1_1509	COJ1	1509.695	0.01479	1000000000.0	28.0
COJ2_1510	COJ2	1510.011	0.002913	1000000000.0	28.0
COJ2_1509	COJ2	1509.871	0.01479	1000000000.0	28.0
COJ2_1509	COJ2	1509.661	0.01207	1000000000.0	28.0
COJ0_1477	COJ0	1477.565	0.0402	1000000000.0	28.0
COJ1_1477	COJ1	1477.648	0.02007	1000000000.0	28.0
COJ1_1477	COJ1	1477.513	0.02007	1000000000.0	28.0
COJ2_1477	COJ2	1477.817	0.004013	1000000000.0	28.0
COJ2_1477	COJ2	1477.68	0.02006	1000000000.0	28.0
COJ2_1477	COJ2	1477.477	0.01606	1000000000.0	28.0
COJ0_1447	COJ0	1447.352	0.0347	1000000000.0	28.0
COJ1_1447	COJ1	1447.433	0.0173	1000000000.0	28.0
COJ1_1447	COJ1	1447.304	0.0173	1000000000.0	28.0
COJ2_1447	COJ2	1447.594	0.003459	1000000000.0	28.0
COJ2_1447	COJ2	1447.465	0.0173	1000000000.0	28.0
COJ2_1447	COJ2	1447.273	0.01384	1000000000.0	28.0
COJ0_1419	COJ0	1419.044	0.0242	1000000000.0	28.0
COJ1_1419	COJ1	1419.121	0.01162	1000000000.0	28.0
COJ1_1419	COJ1	1419.001	0.01171	1000000000.0	28.0
COJ0_1392	COJ0	1392.525	0.0145	1000000000.0	28.0
COJ1_1392	COJ1	1392.6	0.007248	1000000000.0	28.0
COJ1_1392	COJ1	1392.484	0.007249	1000000000.0	28.0
COJ0_1367	COJ0	1367.623	0.007945	1000000000.0	28.0
COJ1_1367	COJ1	1367.696	0.003972	1000000000.0	28.0
COJ1_1367	COJ1	1367.586	0.003969	1000000000.0	28.0
COJ2_1367	COJ2	1367.839	0.0007944	1000000000.0	28.0
COJ2_1367	COJ2	1367.73	0.003968	1000000000.0	28.0
COJ2_1367	COJ2	1367.566	0.003169	1000000000.0	28.0
COJ3_1367	COJ3	1367.946	0.001134	1000000000.0	28.0
COJ3_1367	COJ3	1367.782	0.00396	1000000000.0	28.0
COJ3_1367	COJ3	1367.564	0.002819	1000000000.0	28.0
COJ4_1368	COJ4	1368.07	0.00132	1000000000.0	28.0
COJ4_1367	COJ4	1367.852	0.003945	1000000000.0	28.0
COJ4_1367	COJ4	1367.58	0.00261	1000000000.0	28.0
COJ5_1368	COJ5	1368.212	0.001435	1000000000.0	28.0
COJ5_1367	COJ5	1367.94	0.003913	1000000000.0	28.0
COJ5_1367	COJ5	1367.616	0.002427	1000000000.0	28.0
COJ6_1368	COJ6	1368.371	0.001505	1000000000.0	28.0
COJ6_1368	COJ6	1368.047	0.003811	1000000000.0	28.0
COJ6_1367	COJ6	1367.675	0.001929	1000000000.0	28.0
COJ0_1344	COJ0	1344.186	0.00414	1000000000.0	28.0
COJ1_1344	COJ1	1344.255	0.00207	1000000000.0	28.0
COJ1_1344	COJ1	1344.151	0.00207	1000000000.0	28.0
COJ2_1344	COJ2	1344.394	0.000414	1000000000.0	28.0
COJ2_1344	COJ2	1344.29	0.00207	1000000000.0	28.0
COJ2_1344	COJ2	1344.134	0.001656	1000000000.0	28.0
COJ3_1344	COJ3	1344.498	0.0005913	1000000000.0	28.0
COJ3_1344	COJ3	1344.342	0.00207	1000000000.0	28.0
COJ3_1344	COJ3	1344.133	0.001479	1000000000.0	28.0
COJ4_1344	COJ4	1344.621	0.0006898	1000000000.0	28.0
COJ4_1344	COJ4	1344.413	0.00207	1000000000.0	28.0
COJ4_1344	COJ4	1344.153	0.00138	1000000000.0	28.0
COJ5_1344	COJ5	1344.759	0.0007524	1000000000.0	28.0
COJ5_1344	COJ5	1344.499	0.00207	1000000000.0	28.0
COJ5_1344	COJ5	1344.188	0.001317	1000000000.0	28.0
COJ6_1344	COJ6	1344.917	0.0007958	1000000000.0	28.0
COJ6_1344	COJ6	1344.604	0.002069	1000000000.0	28.0
COJ6_1344	COJ6	1344.24	0.001274	1000000000.0	28.0
COJ0_1322	COJ0	1322.15	0.002004	1000000000.0	28.0
COJ1_1322	COJ1	1322.217	0.001002	1000000000.0	28.0
COJ1_1322	COJ1	1322.119	0.001002	1000000000.0	28.0
COJ2_1322	COJ2	1322.351	0.0002004	1000000000.0	28.0
COJ2_1322	COJ2	1322.253	0.001003	1000000000.0	28.0
COJ2_1322	COJ2	1322.105	0.0008024	1000000000.0	28.0
COJ3_1322	COJ3	1322.455	0.0002862	1000000000.0	28.0
COJ3_1322	COJ3	1322.306	0.001004	1000000000.0	28.0
COJ3_1322	COJ3	1322.108	0.0007164	1000000000.0	28.0
COJ4_1322	COJ4	1322.575	0.0003342	1000000000.0	28.0
COJ4_1322	COJ4	1322.377	0.001004	1000000000.0	28.0
COJ4_1322	COJ4	1322.13	0.0006687	1000000000.0	28.0
COJ5_1322	COJ5	1322.714	0.0003646	1000000000.0	28.0
COJ5_1322	COJ5	1322.467	0.001004	1000000000.0	28.0
COJ5_1322	COJ5	1322.169	0.0006389	1000000000.0	28.0
COJ6_1322	COJ6	1322.87	0.0003855	1000000000.0	28.0
COJ6_1322	COJ6	1322.573	0.001005	1000000000.0	28.0
COJ6_1322	COJ6	1322.227	0.0006178	1000000000.0	28.0
COJ0_1301	COJ0	1301.403	0.00095	1000000000.0	28.0
COJ1_1301	COJ1	1301.468	0.000475	1000000000.0	28.0
COJ1_1301	COJ1	1301.374	0.000475	1000000000.0	28.0
COJ2_1301	COJ2	1301.598	9.499e-05	1000000000.0	28.0
COJ2_1301	COJ2	1301.505	0.000475	1000000000.0	28.0
COJ2_1301	COJ2	1301.364	0.00038	1000000000.0	28.0
COJ3_1301	COJ3	1301.7	0.0001357	1000000000.0	28.0
COJ3_1301	COJ3	1301.559	0.000475	1000000000.0	28.0
COJ3_1301	COJ3	1301.37	0.0003393	1000000000.0	28.0
COJ4_1301	COJ4	1301.82	0.0001583	1000000000.0	28.0
COJ4_1301	COJ4	1301.631	0.0004749	1000000000.0	28.0
COJ4_1301	COJ4	1301.396	0.0003167	1000000000.0	28.0
